Id;Material;TemperaturaSintetizacao;EstruturaCristalina;ConstanteDieletrica;FatorQualidade;FrequenciaMedicao;VariacaoTemperaturaFrequenciaRessonante;Referencia;Elementos;Compostos
1;AlPO4+5 wt% MgF2;1450;Orthorhombic;3.0;900;5.8;-;1;Al,P,O,Mg,F;Al,P,O4,Mg,F2
2;50%Li2CO3-40.24%B2O3-9.76%SiO2;600;glass;3.2;10500;;-79;2;Li,C,O,B,Si;Li2,C,O3,B2,O3,Si,O2
3;SiO2 sol-gel;1550;Tetragonal cristobalite;3.5;92400;;-15;3;Si,O;Si,O2
4;0.2B2O3-0.8SiO2;1100;Amorphous (fused silica);3.6;70600;;;4;B,O,Si;B2,O3,Si,O2
5;SiO2 (solid state method);1100;fused silica;3.7;44300;;-15;5;Si,O;Si,O2
6;SiO2melt method;;Fused silica;3.7;122100;;;5;Si,O;Si,O2
7;10.5CaO-22.2B2O3-67.3SiO2;1035;Glass;3.8;4300;12.9;;6;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
8;SiO2;1650;Trigonal P3121;3.8;80400;;-16;7;Si,O;Si,O2
9;CaO-B2O3-SiO2 (29.3:9.3:61.4 mol%);900;Glass;3.9;1800;9.9;;8;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
10;27.8CaO-27B2O3-45.2SiO2;875;Glass;4.0;3200;12.8;;8;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
11;KGaGe3O8;890;Monoclinic P21/a;4.0;10200;13;;9;K,Ga,Ge,O;K,Ga,Ge3,O8
12;SrCuSi4O10;1100;Gillespite Tetragonal P4/ncc;4.0;11500;;;10;Sr,Cu,Si,O;Sr,Cu,Si4,O10
13;CaO-B2O3-SiO2 (19.8:30.9:49.3 mol%);900;Glass;4.1;2000;9.9;;8;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
14;CaO-B2O3-SiO2 (10.5:22.2:67.3 mol%);900;Glass;4.1;2600;9.9;;8;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
15;Na2MoO4;660;Cubic Fd-3m;4.1;35000;;-76;11;Na,Mo,O;Na2,Mo,O4
16;Li3AlB2O6;650;Triclinic;4.2;12460;16.8;-290;12;Li,Al,B,O;Li3,Al,B2,O6
17;27.8CaO-27B2O3-45.3SiO2;850;Glass;4.2;3200;12.8;;6;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
18;LiAlSiO4+15 wt% Bi2O3;900;alfa-eucryptite Rhombohedral R3;4.3;62400;;-16;13;Li,Al,Si,O,Bi;Li,Al,Si,O4,Bi2,O3
19;Li2CaSiO4;1000;Tetragonal I-42m;4.4;2500;;;14;Li,Ca,Si,O;Li2,Ca,Si,O4
20;BF33 glass;-;Glass;4.6;440;4;;15;Si,O,Al,Na,K,B;Si,O2,Al2,O3,Na2,O,K20,B2,O3
21;BF33 glass;-;Glass;4.6;860;5;;15;Si,O,Al,Na,K,B;Si,O2,Al2,O3,Na2,O,K20,B2,O3
22;BF33 glass;-;Glass;4.6;2900;24;;15;Si,O,Al,Na,K,B;Si,O2,Al2,O3,Na2,O,K20,B2,O3
23;BF33 glass;-;Glass;4.6;4560;77;;15;Si,O,Al,Na,K,B;Si,O2,Al2,O3,Na2,O,K20,B2,O3
24;Mg2Al4Si5O18 Indialite recrystallized;1320;Hexagonal P6/mcc;4.6;207800;19;-27;16;Mg,Al,Si,O;Mg2,Al4,Si5,O18
25;MEMPAX glass;-;Glass;4.7;310;2;;15;B,O,Na,K,Al,Si;B2,O3,Na2,O,K2,O,Al2,O3,Si,O2
26;MEMPAX glass;-;Glass;4.7;700;5;;15;B,O,Na,K,Al,Si;B2,O3,Na2,O,K2,O,Al2,O3,Si,O2
27;MEMPAX glass;-;Glass;4.7;2400;24;;15;B,O,Na,K,Al,Si;B2,O3,Na2,O,K2,O,Al2,O3,Si,O2
28;MEMPAX glass;-;Glass;4.7;5130;77;;15;B,O,Na,K,Al,Si;B2,O3,Na2,O,K2,O,Al2,O3,Si,O2
29;K0.9Ba0.1Ga1.1Ge2.9O8;990;Monoclinic C2/m;4.7;10600;13;-18;9;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
30;LiAlSiO4;1350;alfa-eucryptite Rhombohedral R3;4.8;36000;;8;17;Li,Al,Si,O;Li,Al,Si,O4
31;Li3AlB2O6;700;Triclinic;4.9;12600;16.9;-201;12;Li,Al,B,O;Li3,Al,B2,O6
32;(cordierite) Mg2Al4Si5O18+7 wt% Yb2O3;1420;Orthorhombic Cccm;4.9;112500;18;;18;Mg,Fe,Al,Si,O,Yb;Mg,Fe,Al4,Si5,O18,Mg2,Al4,Si5,O18,Yb2,O3
33;Li2MgSiO4+5 wt% LMZBS;850/2h;Orthorhombic;4.9;8000;8;;19;Li,Mg,Si,O,L,M,Zn,B;Li2,Mg,Si,O4,L,M,Zn,O,B2,O3,Si,O2
34;Zn2SiO4-SiO2-H3BO3 (30:55:15 wt%);725;;4.9;38100;18.49;;20;Zn,Si,O,H,B;Zn2,Si,O4,Si,O2,H3,B,O3
35;SrCuSi4O10+5 wt% LMZBS;900/6h;Tetragonal Gillespite P4/ncc;5.0;4000;;;10;Sr,Cu,Si,O,Li,Mg,Zn,B;Sr,Cu,Si4,O10,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
36;30 wt% Al2O3+70 wt% [3ZnO-2B2O3];850;Composite;5.0;8000;7;-32;21;Al,O,Zn,B;Al2,O3,Zn,O,B2,O3
37;Mg2SiO4+15 wt% LBS;950;Orthorhombic Pbnm;5.0;1500;;;22;Mg,Si,O,Li,B;Mg2,Si,O4,Li2,O,B2,O3,Si,O2
38;Li2MgSiO4+3 wt% LMZBS;850/2h;Orthorhombic;5.0;10000;8;;19;Li,Mg,Si,O,Zn,B;Li2,Mg,Si,O4,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
39;SrCuSi4O10+3 wt% LMZBS;975/6h;Tetragonal Gillespite P4/ncc;5.1;5000;;;10;Sr,Cu,Si,O,Li,Mg,Zn,B;Sr,Cu,Si4,O10,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
40;Li2MgSiO4;1250/2h;Orthorhombic;5.1;16000;8;;19;Li,Mg,Si,O;Li2,Mg,Si,O4
41;Cordierite+15 wt% CaO-B2O3;1020;Cordierite composite;5.1;4500;10.3;;23;Mg,Fe,Al,Si,O,Ca,B;Mg,Fe,Al4,Si5,O18,Ca,O,B2,O3
42;Li2MgSiO4+3 wt% LBS;850/2h;Orthorhombic;5.1;42100;8;;19;Li,Mg,Si,O,B;Li2,Mg,Si,O4,Li2,O,B2,O3,Si,O2
43;Li2MgSiO4+2 wt% LBS;850/2h;Orthorhombic;5.1;67000;8;;19;Li,Mg,Si,O,B;Li2,Mg,Si,O4,Li2,O,B2,O3,Si,O2
44;AF32 glass;-;Glass;5.1;360;1;;15;Si,O,B,Al,Ca,Mg;Si,O2,B2,O3,Al2,O3,Ca,O,Mg,O
45;AF32 glass;-;Glass;5.1;290;4;;15;Si,O,B,Al,Ca,Mg;Si,O2,B2,O3,Al2,O3,Ca,O,Mg,O
46;AF32 glass;-;Glass;5.1;1190;5;;15;Si,O,B,Al,Ca,Mg;Si,O2,B2,O3,Al2,O3,Ca,O,Mg,O
47;AF32 glass;-;Glass;5.1;3470;24;;15;Si,O,B,Al,Ca,Mg;Si,O2,B2,O3,Al2,O3,Ca,O,Mg,O
48;AF32 glass;-;Glass;5.1;7230;77;;15;Si,O,B,Al,Ca,Mg;Si,O2,B2,O3,Al2,O3,Ca,O,Mg,O
49;KGaGe3O8+0.3 wt% H3BO3;880;Monoclinic P21/a;5.2;64000;13;-23;9;K,Ga,Ge,O,H,B;K,Ga,Ge3,O8,H3,B,O3
